# FINAL HIGH-STAT coherent eps_det table
# Broad coherent MC used for bins without dedicated MC
# 223-234: 224coh (monoenergetic at 224.186 MeV; documented proxy)
# 283-294: 294coh
# 319-330: 320coh
# 356-366: 366coh
# input: /media/daniele/LaCie/Output/Acqu_geant_He4pi0.root
# definition: eps_det(E_lab,theta_cm) = Nreco / Ngen_bin
# denominator: Ngen_bin = Ntagged_in_Ebin * DeltaOmega_cm/(4*pi), valid if MC was generated isotropically in CM
# reco selection: two neutral clusters E>20, veto<1, best pair 110 < mgg < 155 MeV
# applyMMCut = 1, MM cut = [-10,40] MeV
# E_low E_high E_center thetaCm_low thetaCm_high thetaCm_center DeltaOmega_sr Ngen_E Ngen_bin Nreco eps_det deps_det
235 246 240.5 55 60 57.5 0.462294 12914 475.083 387 0.814594 0.0178298
235 246 240.5 60 65 62.5 0.486204 12914 499.654 376 0.752521 0.0193061
235 246 240.5 65 70 67.5 0.506413 12914 520.422 394 0.757078 0.0187986
235 246 240.5 70 75 72.5 0.522768 12914 537.229 416 0.774343 0.0180348
235 246 240.5 75 80 77.5 0.535144 12914 549.948 419 0.76189 0.0181624
235 246 240.5 80 85 82.5 0.543448 12914 558.482 421 0.75383 0.0182285
235 246 240.5 85 90 87.5 0.547616 12914 562.765 439 0.780077 0.0174598
235 246 240.5 90 95 92.5 0.547616 12914 562.765 424 0.753423 0.018169
235 246 240.5 95 100 97.5 0.543448 12914 558.482 440 0.78785 0.0172997
235 246 240.5 100 105 102.5 0.535144 12914 549.948 443 0.80553 0.0168774
235 246 240.5 105 110 107.5 0.522768 12914 537.229 431 0.802264 0.0171839
235 246 240.5 110 115 112.5 0.506413 12914 520.422 390 0.749392 0.0189965
235 246 240.5 115 120 117.5 0.486204 12914 499.654 377 0.754522 0.0192534
235 246 240.5 120 125 122.5 0.462294 12914 475.083 308 0.648308 0.0219072
235 246 240.5 125 130 127.5 0.434867 12914 446.897 311 0.695911 0.0217608
235 246 240.5 130 135 132.5 0.404129 12914 415.309 277 0.666973 0.0231264
235 246 240.5 135 140 137.5 0.370316 12914 380.56 274 0.719991 0.0230164
235 246 240.5 140 145 142.5 0.333685 12914 342.916 215 0.626976 0.0261156
235 246 240.5 145 150 147.5 0.294514 12914 302.661 160 0.528644 0.0286931
247 258 252.5 5 10 7.5 0.0715463 9451 53.809 21 0.390269 0.0665003
247 258 252.5 10 15 12.5 0.118639 9451 89.2265 22 0.246563 0.045629
247 258 252.5 15 20 17.5 0.164828 9451 123.965 37 0.298471 0.0410984
247 258 252.5 20 25 22.5 0.209763 9451 157.76 78 0.494422 0.0398056
